,Name,TeamName,SkillName,Value,isUnCap,tp,batting_second,batting_first,Abu Dhabi,Ahmedabad,Bengaluru,Chennai,Delhi,Dubai,Hyderabad,Jaipur,Kolkata,Mohali,Mumbai,Sharjah,Visakhapatnam,vp
0,David Warner,Sunrisers Hyderabad,BATSMAN,12.0,0,54.94,42.64,74.29,40.4,0.0,0.0,44.33,39.0,44.67,82.86,50.0,112.0,86.0,0.0,50.5,0.0,4.58
1,Rohit Sharma,Mumbai Indians,BATSMAN,12.0,0,39.58,35.0,41.96,46.62,0.0,72.0,50.14,37.33,39.6,23.5,6.0,23.0,47.0,40.17,11.33,0.0,3.3
2,Virat Kohli,Royal Challengers Bangalore,BATSMAN,12.0,0,42.32,45.13,40.69,26.17,35.0,45.29,30.5,45.0,47.0,-3.0,26.0,163.0,83.0,36.67,44.4,0.0,3.53
3,Lokesh Rahul,Punjab Kings,WICKET KEEPER,11.5,0,62.02,64.16,60.1,45.6,75.5,59.0,47.0,15.0,71.44,103.0,21.0,9.0,59.86,92.5,64.4,0.0,5.39
4,Andre Russell,Kolkata Knight Riders,ALL ROUNDER,11.0,0,47.68,44.67,50.05,30.78,37.5,0.0,62.25,125.0,37.0,19.0,0.0,86.86,73.0,8.0,48.5,0.0,4.33
5,AB de Villiers,Royal Challengers Bangalore,WICKET KEEPER,11.0,0,44.15,33.53,50.52,31.67,68.5,58.29,50.25,27.0,45.0,1.0,15.0,0.0,72.0,39.67,38.2,0.0,4.01
6,Jasprit Bumrah,Mumbai Indians,BOWLER,11.0,0,45.47,36.78,51.72,55.9,0.0,83.0,26.29,48.67,67.86,46.5,37.0,-2.0,2.0,34.86,44.67,0.0,4.13
7,Jos Buttler,Rajasthan Royals,WICKET KEEPER,10.5,0,48.75,50.63,44.78,53.0,0.0,0.0,23.0,117.5,31.83,6.0,68.25,0.0,42.0,49.17,17.5,0.0,4.64
8,Shikhar Dhawan,Delhi Capitals,BATSMAN,10.5,0,49.72,54.28,44.29,54.5,50.67,4.0,43.67,48.14,41.45,8.0,72.0,132.0,42.0,86.25,47.2,22.5,4.73
9,Rashid Khan,Sunrisers Hyderabad,BOWLER,10.5,0,43.26,35.68,53.78,38.4,0.0,24.0,41.83,56.33,48.18,43.14,45.0,43.0,29.0,12.0,37.4,76.0,4.12
10,Kagiso Rabada,Delhi Capitals,BOWLER,10.5,0,50.46,44.43,56.8,63.17,40.0,112.0,20.5,41.0,43.45,146.0,74.0,56.0,58.0,51.0,41.2,0.0,4.81
11,Quinton de Kock,Mumbai Indians,WICKET KEEPER,10.5,0,49.6,52.72,47.36,46.7,0.0,27.0,17.67,64.33,47.86,48.5,85.0,8.0,82.0,69.43,61.75,0.0,4.72
12,Ben Stokes,Rajasthan Royals,ALL ROUNDER,10.5,0,43.44,47.5,35.33,101.0,0.0,0.0,82.0,0.0,29.2,38.0,29.33,21.0,0.0,16.0,0.0,0.0,4.14
13,MS Dhoni,Chennai Super Kings,WICKET KEEPER,10.0,0,29.05,28.04,30.53,24.5,0.0,117.0,47.57,14.67,22.0,18.0,76.0,26.0,18.0,15.83,25.2,22.0,2.9
14,Jofra Archer,Rajasthan Royals,BOWLER,10.0,0,46.84,52.76,34.25,50.0,0.0,0.0,76.0,0.0,55.83,-2.0,22.5,39.0,110.0,79.0,49.67,0.0,4.68
15,Rishabh Pant,Delhi Capitals,WICKET KEEPER,10.0,0,44.07,40.17,49.0,30.6,36.33,48.0,33.0,37.57,41.8,34.0,98.0,64.0,68.0,61.75,40.25,66.5,4.41
16,Hardik Pandya,Mumbai Indians,ALL ROUNDER,10.0,0,37.17,29.0,42.62,40.67,0.0,60.0,19.43,39.67,19.6,23.5,31.0,23.0,46.0,70.0,23.67,0.0,3.72
17,Eoin Morgan,Kolkata Knight Riders,BATSMAN,9.5,0,28.96,26.5,30.93,27.73,39.5,0.0,22.67,0.0,34.6,0.0,0.0,0.0,0.0,8.0,35.25,0.0,3.05
18,Pat Cummins,Kolkata Knight Riders,BOWLER,9.5,0,38.24,23.25,47.46,35.25,74.5,0.0,39.33,0.0,81.67,0.0,0.0,0.0,0.0,7.0,-1.67,0.0,4.03
19,Nicholas Pooran,Punjab Kings,WICKET KEEPER,9.5,0,28.18,38.47,19.61,28.2,15.0,61.0,4.0,0.0,45.33,33.0,13.0,0.0,34.75,6.0,15.8,0.0,2.97
20,Shreyas Iyer,Delhi Capitals,BATSMAN,9.5,0,39.71,33.42,46.0,37.5,0.0,89.0,60.0,44.86,36.64,62.0,20.0,7.0,33.0,32.0,45.8,17.5,4.18
21,Kane Williamson,Sunrisers Hyderabad,BATSMAN,9.5,0,33.37,33.12,33.69,60.75,0.0,95.0,51.0,31.5,38.0,17.0,15.0,0.0,0.0,3.0,12.2,30.0,3.51
22,Steve Smith,Delhi Capitals,BATSMAN,9.5,0,33.15,27.08,47.7,21.4,24.67,8.0,45.33,0.0,22.0,0.0,50.86,2.0,0.0,11.0,58.0,0.0,3.49
23,Chris Gayle,Punjab Kings,BATSMAN,9.5,0,44.8,39.67,48.22,48.0,27.33,35.0,30.33,99.0,31.67,5.0,107.0,30.0,51.17,45.25,56.0,0.0,4.72
24,Sanju Samson,Rajasthan Royals,WICKET KEEPER,9.5,0,46.87,46.29,47.86,44.14,0.0,50.0,13.0,40.67,36.89,142.0,35.2,28.0,37.0,51.83,87.0,0.0,4.93
25,Kieron Pollard,Mumbai Indians,ALL ROUNDER,9.5,0,30.93,31.11,30.81,34.2,0.0,5.0,23.14,67.67,20.86,62.0,20.0,0.0,7.0,33.14,30.0,0.0,3.26
26,Jonny Bairstow,Sunrisers Hyderabad,WICKET KEEPER,9.5,0,54.82,57.67,49.7,43.0,0.0,0.0,53.33,37.0,47.71,90.17,0.0,48.0,1.0,0.0,51.0,0.0,5.77
27,Mayank Agarwal,Punjab Kings,BATSMAN,9.5,0,49.69,53.72,45.41,49.67,88.5,54.0,23.67,10.0,53.62,37.0,27.0,96.0,39.43,38.0,74.75,0.0,5.23
28,Suresh Raina,Chennai Super Kings,BATSMAN,9.5,0,28.52,24.12,33.92,9.5,0.0,0.0,36.75,24.0,21.0,13.5,5.0,69.0,72.0,30.33,23.5,19.0,3.0
29,Faf du Plessis,Chennai Super Kings,BATSMAN,9.5,0,50.97,51.9,49.82,47.67,0.0,15.0,39.4,78.0,35.75,65.0,5.0,63.0,128.0,61.0,61.4,59.0,5.37
30,Trent Boult,Mumbai Indians,BOWLER,9.5,0,41.03,45.67,36.94,26.9,0.0,0.0,34.17,36.0,58.43,0.0,0.0,0.0,0.0,31.0,75.67,32.0,4.32
31,Suryakumar Yadav,Mumbai Indians,BATSMAN,9.5,0,37.82,33.61,40.73,47.2,0.0,52.0,48.57,22.0,22.43,12.0,49.0,38.0,13.0,44.86,34.75,0.0,3.98
32,Dinesh Karthik,Kolkata Knight Riders,WICKET KEEPER,9.0,0,23.22,14.18,29.62,24.91,20.5,22.0,20.5,77.0,24.2,7.0,0.0,31.29,25.0,16.0,9.0,0.0,2.58
33,Axar Patel,Delhi Capitals,ALL ROUNDER,9.0,0,36.55,34.3,39.06,23.67,40.0,34.0,54.5,46.83,39.6,19.0,25.0,8.0,0.0,32.0,42.75,26.0,4.06
34,Shakib Al Hasan,Kolkata Knight Riders,ALL ROUNDER,9.0,0,28.86,36.33,23.25,0.0,0.0,0.0,27.5,0.0,37.0,0.0,34.0,21.0,0.0,0.0,0.0,0.0,3.21
35,Jason Holder,Sunrisers Hyderabad,ALL ROUNDER,9.0,0,66.77,75.67,46.75,69.5,0.0,0.0,83.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,97.75,0.0,7.42
36,Sunil Narine,Kolkata Knight Riders,ALL ROUNDER,9.0,0,38.41,34.64,41.33,49.12,35.0,45.0,56.0,0.0,21.0,32.0,73.0,50.67,0.0,13.67,36.67,0.0,4.27
37,Jason Roy,Sunrisers Hyderabad,BATSMAN,9.0,0,31.33,80.0,7.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.48
38,Chris Lynn,Mumbai Indians,BATSMAN,9.0,0,45.5,41.2,47.89,0.0,0.0,53.0,40.5,23.0,0.0,65.0,66.0,36.83,71.0,57.0,0.0,0.0,5.06
39,Ambati Rayudu,Chennai Super Kings,BATSMAN,9.0,0,28.88,29.17,28.5,31.33,0.0,41.0,22.62,39.33,39.75,14.0,81.0,-1.0,1.0,15.33,35.75,23.0,3.21
40,Manish Pandey,Sunrisers Hyderabad,BATSMAN,9.0,0,40.69,38.53,43.25,32.8,0.0,26.0,64.25,51.33,41.89,23.75,82.0,9.0,21.0,87.0,28.75,37.0,4.52
41,Chris Morris,Rajasthan Royals,ALL ROUNDER,9.0,0,48.64,60.0,38.8,24.0,0.0,58.0,29.0,42.6,44.17,91.0,31.0,58.0,103.0,64.6,39.67,0.0,5.4
42,Anrich Nortje,Delhi Capitals,BOWLER,9.0,0,42.67,45.44,40.58,36.17,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,0.0,0.0,54.4,0.0,4.74
43,Ravichandran Ashwin,Delhi Capitals,BOWLER,9.0,0,29.18,26.39,31.57,16.6,0.0,47.0,31.0,26.0,35.4,50.0,53.0,-4.0,35.43,15.0,25.6,0.0,3.24
44,Ravindra Jadeja,Chennai Super Kings,ALL ROUNDER,9.0,0,43.09,36.84,51.78,47.83,0.0,61.0,41.57,34.0,38.56,8.5,65.0,44.0,33.0,73.83,21.0,58.0,4.79
45,Marcus Stoinis,Delhi Capitals,ALL ROUNDER,9.0,0,37.11,31.27,41.29,53.6,21.67,33.8,18.5,39.0,38.6,0.0,47.0,46.0,38.0,16.25,58.67,0.0,4.12
46,Sam Curran,Chennai Super Kings,ALL ROUNDER,9.0,0,43.56,37.88,49.25,26.17,0.0,0.0,8.0,40.0,36.71,0.0,44.0,0.0,69.0,42.17,70.0,0.0,4.84
47,Mohammad Shami,Punjab Kings,BOWLER,9.0,0,41.56,50.79,33.59,18.6,18.33,19.0,18.33,37.0,47.11,66.0,16.0,23.0,47.57,51.5,75.4,0.0,4.62
48,Shubman Gill,Kolkata Knight Riders,BATSMAN,9.0,0,34.51,36.24,33.29,36.0,31.5,8.0,28.0,20.0,48.2,3.0,12.0,35.29,84.0,7.0,52.0,0.0,3.83
49,Bhuvneshwar Kumar,Sunrisers Hyderabad,BOWLER,9.0,0,22.62,25.07,20.0,26.0,0.0,60.0,23.2,34.0,18.2,21.57,5.0,8.0,2.0,25.0,15.0,48.0,2.51
50,Glenn Maxwell,Royal Challengers Bangalore,ALL ROUNDER,9.0,0,35.76,23.92,48.58,13.5,15.0,0.0,79.0,0.0,41.33,0.0,0.0,0.0,0.0,21.5,31.6,0.0,3.97
51,Yuzvendra Chahal,Royal Challengers Bangalore,BOWLER,9.0,0,39.32,43.07,37.15,42.17,22.5,35.57,26.25,56.0,48.67,23.0,64.0,-6.0,58.0,31.0,46.8,0.0,4.37
52,Devdutt Padikkal,Royal Challengers Bangalore,BATSMAN,9.0,1,46.19,50.89,43.71,54.0,14.5,0.0,24.0,0.0,40.67,0.0,0.0,0.0,0.0,97.0,48.0,0.0,5.13
53,Ishan Kishan,Mumbai Indians,WICKET KEEPER,9.0,0,33.34,42.08,26.25,25.43,0.0,0.0,17.17,0.0,55.43,30.5,0.0,0.0,0.0,13.75,60.67,0.0,3.7
54,Mustafizur Rahman,Rajasthan Royals,BOWLER,8.5,0,32.25,28.67,35.83,28.0,0.0,0.0,0.0,61.0,31.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,3.79
