,Name,TeamName,SkillName,Value,isUnCap,tp,batting_second,batting_first,Abu Dhabi,Ahmedabad,Chennai,Delhi,Dubai,Mumbai,Sharjah,vp
0,David Warner,Sunrisers Hyderabad,BATSMAN,12.0,0,33.5,32.67,36.0,0.0,0.0,38.8,72.0,0.0,0.0,2.0,2.79
1,Rohit Sharma,Mumbai Indians,BATSMAN,12.0,0,39.08,34.6,41.88,24.33,0.0,51.4,35.5,62.0,0.0,22.5,3.26
2,Virat Kohli,Royal Challengers Bangalore,BATSMAN,12.0,0,40.4,40.71,40.12,8.0,35.0,40.0,0.0,45.67,50.5,54.0,3.37
3,Lokesh Rahul,Punjab Kings,WICKET KEEPER,11.5,0,67.38,85.2,56.25,31.0,75.5,40.5,0.0,99.0,77.33,42.0,5.86
4,Andre Russell,Kolkata Knight Riders,ALL ROUNDER,11.0,0,43.1,46.17,38.5,48.67,37.5,60.0,0.0,0.0,15.0,0.0,3.92
5,AB de Villiers,Royal Challengers Bangalore,WICKET KEEPER,11.0,0,35.47,27.43,42.5,20.0,68.5,64.0,0.0,21.67,10.0,26.0,3.22
6,Jasprit Bumrah,Mumbai Indians,BOWLER,11.0,0,45.57,54.5,38.88,75.0,0.0,25.6,33.0,64.5,0.0,45.0,4.14
7,Jos Buttler,Rajasthan Royals,WICKET KEEPER,10.5,0,54.43,34.0,81.67,0.0,0.0,0.0,117.5,0.0,29.2,0.0,5.18
8,Shikhar Dhawan,Delhi Capitals,BATSMAN,10.5,0,49.93,64.0,28.83,9.0,50.67,45.5,0.0,41.5,97.33,19.5,4.76
9,Rashid Khan,Sunrisers Hyderabad,BOWLER,10.5,0,47.43,43.22,55.0,46.0,0.0,45.6,65.0,38.67,0.0,49.0,4.52
10,Kagiso Rabada,Delhi Capitals,BOWLER,10.5,0,31.93,36.38,26.0,27.0,40.0,20.5,0.0,26.75,49.5,26.5,3.04
11,Quinton de Kock,Mumbai Indians,WICKET KEEPER,10.5,0,38.18,50.2,28.17,52.0,0.0,18.0,74.0,37.0,0.0,22.0,3.64
12,Ben Stokes,Rajasthan Royals,ALL ROUNDER,10.5,0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.52
13,MS Dhoni,Chennai Super Kings,WICKET KEEPER,10.0,0,15.6,17.0,14.67,12.5,0.0,0.0,4.0,18.0,15.0,27.0,1.56
14,Jofra Archer,Rajasthan Royals,BOWLER,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Rishabh Pant,Delhi Capitals,WICKET KEEPER,10.0,0,41.73,34.89,52.0,50.0,36.33,44.5,0.0,43.75,39.33,42.5,4.17
16,Hardik Pandya,Mumbai Indians,ALL ROUNDER,10.0,0,16.67,18.8,15.14,39.0,0.0,11.8,14.0,3.0,0.0,16.0,1.67
17,Eoin Morgan,Kolkata Knight Riders,BATSMAN,9.5,0,15.53,18.78,10.67,9.67,39.5,22.67,0.0,6.0,8.0,9.67,1.64
18,Pat Cummins,Kolkata Knight Riders,BOWLER,9.5,0,40.14,35.75,46.0,0.0,74.5,39.33,0.0,0.0,7.0,0.0,4.23
19,Nicholas Pooran,Punjab Kings,WICKET KEEPER,9.5,0,10.67,17.0,7.5,2.0,15.0,4.0,0.0,28.5,6.0,6.5,1.12
20,Shreyas Iyer,Delhi Capitals,BATSMAN,9.5,0,31.57,35.33,28.75,54.0,0.0,0.0,0.0,30.75,0.0,22.0,3.32
21,Kane Williamson,Sunrisers Hyderabad,BATSMAN,9.5,0,38.7,40.4,37.0,63.0,0.0,51.0,31.5,43.0,0.0,15.0,4.07
22,Steve Smith,Delhi Capitals,BATSMAN,9.5,0,32.38,26.5,50.0,0.0,24.67,49.0,0.0,0.0,9.0,39.0,3.41
23,Chris Gayle,Punjab Kings,BATSMAN,9.5,0,27.0,60.0,23.33,1.0,27.33,38.5,0.0,0.0,29.0,23.0,2.84
24,Sanju Samson,Rajasthan Royals,WICKET KEEPER,9.5,0,50.21,56.29,44.14,71.0,0.0,0.0,58.5,54.67,55.2,2.0,5.29
25,Kieron Pollard,Mumbai Indians,ALL ROUNDER,9.5,0,37.0,51.33,26.25,44.33,0.0,27.8,97.5,15.5,0.0,10.0,3.89
26,Jonny Bairstow,Sunrisers Hyderabad,WICKET KEEPER,9.5,0,50.0,57.0,8.0,0.0,0.0,60.8,23.0,0.0,0.0,0.0,5.26
27,Mayank Agarwal,Punjab Kings,BATSMAN,9.5,0,51.92,59.0,46.86,0.0,88.5,35.5,0.0,61.0,38.0,39.0,5.46
28,Suresh Raina,Chennai Super Kings,BATSMAN,9.5,0,21.92,18.4,24.43,9.5,0.0,0.0,11.0,21.0,30.8,23.5,2.31
29,Faf du Plessis,Chennai Super Kings,BATSMAN,9.5,0,53.33,50.83,55.0,45.5,0.0,0.0,78.0,35.75,61.0,52.5,5.61
30,Trent Boult,Mumbai Indians,BOWLER,9.5,0,32.14,28.83,34.62,11.67,0.0,41.0,28.0,58.5,0.0,18.5,3.38
31,Suryakumar Yadav,Mumbai Indians,BATSMAN,9.5,0,34.36,13.5,50.0,38.67,0.0,48.2,19.0,13.5,0.0,29.5,3.62
32,Dinesh Karthik,Kolkata Knight Riders,WICKET KEEPER,9.0,0,19.33,16.0,24.33,17.67,20.5,20.0,0.0,21.0,18.5,19.0,2.15
33,Axar Patel,Delhi Capitals,ALL ROUNDER,9.0,0,46.0,55.17,35.0,49.0,40.0,68.0,0.0,40.5,0.0,53.5,5.11
34,Shakib Al Hasan,Kolkata Knight Riders,ALL ROUNDER,9.0,0,34.33,30.25,42.5,0.0,0.0,36.0,0.0,37.0,0.0,30.5,3.81
35,Jason Holder,Sunrisers Hyderabad,ALL ROUNDER,9.0,0,69.12,85.5,52.75,74.0,0.0,83.0,0.0,27.33,0.0,120.0,7.68
36,Sunil Narine,Kolkata Knight Riders,ALL ROUNDER,9.0,0,45.75,59.57,26.4,44.67,35.0,0.0,0.0,17.0,20.5,90.0,5.08
37,Jason Roy,Sunrisers Hyderabad,BATSMAN,9.0,0,41.4,70.0,22.33,56.5,0.0,0.0,0.0,46.0,0.0,2.0,4.6
38,Chris Lynn,Mumbai Indians,BATSMAN,9.0,0,81.0,0.0,81.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,9.0
39,Ambati Rayudu,Chennai Super Kings,BATSMAN,9.0,0,24.2,16.17,29.56,10.5,0.0,0.0,52.0,21.25,16.8,34.5,2.69
40,Manish Pandey,Sunrisers Hyderabad,BATSMAN,9.0,0,51.62,52.83,48.0,84.0,0.0,49.67,68.0,18.0,0.0,26.0,5.74
41,Chris Morris,Rajasthan Royals,ALL ROUNDER,9.0,0,46.55,68.4,28.33,0.0,0.0,0.0,76.5,3.67,64.6,25.0,5.17
42,Anrich Nortje,Delhi Capitals,BOWLER,9.0,0,45.14,49.33,42.0,56.0,0.0,0.0,0.0,43.5,0.0,43.0,5.02
43,Ravichandran Ashwin,Delhi Capitals,BOWLER,9.0,0,17.42,18.83,16.0,35.0,0.0,1.0,0.0,13.75,11.67,41.0,1.94
44,Ravindra Jadeja,Chennai Super Kings,ALL ROUNDER,9.0,0,49.93,31.83,62.0,56.5,0.0,0.0,32.5,31.75,79.4,23.5,5.55
45,Marcus Stoinis,Delhi Capitals,ALL ROUNDER,9.0,0,18.56,22.43,5.0,0.0,21.67,18.5,0.0,0.0,21.67,0.0,2.06
46,Sam Curran,Chennai Super Kings,ALL ROUNDER,9.0,0,35.56,21.33,42.67,-4.0,0.0,0.0,56.0,0.0,43.2,0.0,3.95
47,Mohammad Shami,Punjab Kings,BOWLER,9.0,0,42.43,62.8,31.11,31.0,18.33,28.5,0.0,55.0,38.33,85.5,4.71
48,Shubman Gill,Kolkata Knight Riders,BATSMAN,9.0,0,35.07,38.78,29.5,35.0,31.5,34.33,0.0,45.5,8.0,49.33,3.9
49,Bhuvneshwar Kumar,Sunrisers Hyderabad,BOWLER,9.0,0,17.45,19.71,13.5,35.0,0.0,18.25,0.0,18.0,0.0,15.0,1.94
50,Glenn Maxwell,Royal Challengers Bangalore,ALL ROUNDER,9.0,0,52.4,39.29,63.88,32.5,15.0,79.0,0.0,91.67,21.5,45.33,5.82
51,Yuzvendra Chahal,Royal Challengers Bangalore,BOWLER,9.0,0,38.13,26.86,48.0,29.0,22.5,18.67,0.0,64.67,20.5,59.33,4.24
52,Devdutt Padikkal,Royal Challengers Bangalore,BATSMAN,9.0,1,41.5,51.0,34.38,35.0,14.5,24.0,0.0,22.0,97.0,58.0,4.61
53,Ishan Kishan,Mumbai Indians,WICKET KEEPER,9.0,0,32.2,39.0,29.29,66.5,0.0,14.4,0.0,13.0,0.0,91.0,3.58
54,Mustafizur Rahman,Rajasthan Royals,BOWLER,8.5,0,29.71,24.57,34.86,28.0,0.0,0.0,61.0,31.0,23.2,14.5,3.5
55,Josh Hazlewood,Chennai Super Kings,BOWLER,8.5,0,30.12,44.75,15.5,25.0,0.0,0.0,0.0,27.5,0.0,40.5,3.54
56,Mohammad Nabi,Sunrisers Hyderabad,ALL ROUNDER,8.5,0,35.67,35.67,0.0,41.0,0.0,66.0,0.0,0.0,0.0,0.0,4.2
57,Moeen Ali,Chennai Super Kings,ALL ROUNDER,8.5,0,47.36,44.17,49.75,32.0,0.0,0.0,72.0,22.0,78.25,27.0,5.57
58,Imran Tahir,Chennai Super Kings,BOWLER,8.5,0,72.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,8.47
59,Umesh Yadav,Delhi Capitals,BOWLER,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Ajinkya Rahane,Delhi Capitals,BATSMAN,8.5,0,4.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.53
61,Wriddhiman Saha,Sunrisers Hyderabad,WICKET KEEPER,8.5,0,24.44,23.6,25.5,14.5,0.0,23.0,0.0,20.0,0.0,42.5,2.88
