,Name,TeamName,SkillName,Value,isUnCap,tp,batting_second,batting_first,Abu Dhabi,Dubai,Sharjah,vp
0,David Warner,Sunrisers Hyderabad,BATSMAN,12.0,0,1.0,2.0,0.0,0.0,0.0,2.0,0.08
1,Rohit Sharma,Mumbai Indians,BATSMAN,12.0,0,30.0,34.0,26.0,24.33,62.0,22.5,2.5
2,Virat Kohli,Royal Challengers Bangalore,BATSMAN,12.0,0,39.38,23.67,48.8,8.0,45.67,54.0,3.28
3,Lokesh Rahul,Punjab Kings,WICKET KEEPER,11.5,0,68.67,87.25,31.5,31.0,99.0,42.0,5.97
4,Andre Russell,Kolkata Knight Riders,ALL ROUNDER,11.0,0,48.67,47.5,51.0,48.67,0.0,0.0,4.42
5,AB de Villiers,Royal Challengers Bangalore,WICKET KEEPER,11.0,0,22.88,30.33,18.4,20.0,21.67,26.0,2.08
6,Jasprit Bumrah,Mumbai Indians,BOWLER,11.0,0,63.43,65.25,61.0,75.0,64.5,45.0,5.77
7,Jos Buttler,Rajasthan Royals,WICKET KEEPER,10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Shikhar Dhawan,Delhi Capitals,BATSMAN,10.5,0,30.57,38.0,25.0,9.0,41.5,19.5,2.91
9,Rashid Khan,Sunrisers Hyderabad,BOWLER,10.5,0,43.71,42.0,45.0,46.0,38.67,49.0,4.16
10,Kagiso Rabada,Delhi Capitals,BOWLER,10.5,0,26.71,35.67,20.0,27.0,26.75,26.5,2.54
11,Quinton de Kock,Mumbai Indians,WICKET KEEPER,10.5,0,40.0,34.33,48.5,52.0,37.0,22.0,3.81
12,Ben Stokes,Rajasthan Royals,ALL ROUNDER,10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,MS Dhoni,Chennai Super Kings,WICKET KEEPER,10.0,0,18.88,25.5,12.25,12.5,18.0,27.0,1.89
14,Jofra Archer,Rajasthan Royals,BOWLER,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Rishabh Pant,Delhi Capitals,WICKET KEEPER,10.0,0,44.29,45.0,43.75,50.0,43.75,42.5,4.43
16,Hardik Pandya,Mumbai Indians,ALL ROUNDER,10.0,0,22.6,22.0,23.5,39.0,3.0,16.0,2.26
17,Eoin Morgan,Kolkata Knight Riders,BATSMAN,9.5,0,8.75,4.8,15.33,9.67,6.0,9.67,0.92
